listing_id,source_key,source,source_type,market,country,make,model,year,km,mileage_mi,price,currency,price_usd,city,region,dealer_name,dealer_company,body_type,vin,vpic_body_class,vpic_gvwr,vpic_drive_type,vpic_engine,transmission,color,drive_type,usage_class,fifth_wheel_height_mm,spec_horsepower,spec_engine_type,spec_engine_manufacturer,spec_sleeper_type,spec_wheel_base,damaged,url,n_images,image_id,path,variant,image_index,view,view_conf,is_whole_vehicle,vehicle_class,width,height,megapixels,bytes,phash,blur_laplacian_var,sharpness_tenengrad,brightness,contrast_rms,dark_clipped_frac,bright_clipped_frac,colourfulness,capture_quality,quality_bucket,clean_capture_quality,exif_has_exif,exif_has_gps,exif_camera,marketing_overlay,dealer_watermark,degradations,severity,clean_path,split
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_000,images/tr_truckmarket/14190/000.jpg,original,0,exterior_front,0.3572,True,truck,1080,1080,1.166,168048,8d80b23dd0e9bf92,1279.69,15021.59,0.5325,0.256,0.0833,0.0024,32.73,0.8587,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_001,images/tr_truckmarket/14190/001.jpg,original,1,tire_wheel,0.9596,False,,1080,1080,1.166,245074,c060e019fedaef38,1677.66,15531.76,0.4269,0.2431,0.037,0.0003,12.67,0.9187,good,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_002,images/tr_truckmarket/14190/002.jpg,original,2,dashboard_odometer,0.4526,False,,1080,1080,1.166,268336,94b8ab4e684ff445,3109.18,10490.9,0.4174,0.2227,0.0424,0.0023,18.1,0.8973,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_003,images/tr_truckmarket/14190/003.jpg,original,3,exterior_front,0.7605,True,truck,1080,1080,1.166,166514,8f50b04fd3672c36,1512.69,18886.71,0.4899,0.2444,0.061,0.0004,49.34,0.8939,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_004,images/tr_truckmarket/14190/004.jpg,original,4,exterior_front,0.3857,True,truck,1080,1080,1.166,193818,87777c203149e7c9,1702.58,17676.92,0.4172,0.2777,0.0835,0.0014,20.98,0.8836,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_005,images/tr_truckmarket/14190/005.jpg,original,5,dashboard_odometer,0.9559,False,,1080,1080,1.166,138299,9bb1e295294b19b9,779.99,10873.26,0.3642,0.2712,0.1312,0.0013,15.52,0.8016,poor,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_006,images/tr_truckmarket/14190/006.jpg,original,6,exterior_front,0.4119,True,truck,1080,1080,1.166,191177,adc4ebbb051e9294,1668.04,17657.16,0.4768,0.274,0.0869,0.0004,25.74,0.8848,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_007,images/tr_truckmarket/14190/007.jpg,original,7,exterior_rear,0.3205,True,truck,1080,1080,1.166,200140,f0d6d86c1679d2c1,1584.63,16009.77,0.4877,0.2555,0.0749,0.0003,26.51,0.8882,fair,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_008,images/tr_truckmarket/14190/008.jpg,original,8,interior_cab,0.8398,False,,1080,1080,1.166,181851,c5e0300d79c6bd73,1451.29,15914.71,0.401,0.2666,0.1209,0.0067,18.29,0.8449,poor,,False,False,,False,False,,,,train
14190,tr_truckmarket,truckmarket.com.tr,oem_dealer,TR,Turkey,MAN,TGS,2016,870022,,1775000,TRY,36525.64,İstanbul,,,,Çekici,,,,,,Otomatik,BEYAZ,,Yurt İçi Lojistik,1200,,,,,,,https://www.truckmarket.com.tr/arac-detay/14190,24,tr_truckmarket_14190_009,images/tr_truckmarket/14190/009.jpg,original,9,exterior_front,0.773,True,truck,1080,1080,1.166,153366,b0cda3d05d233cd6,1446.13,22173.77,0.4677,0.2528,0.072,0.0008,44.07,0.8997,fair,,False,False,,False,False,,,,train
